"strain","library","condition","total","passing","dropped","to_few"
"316","L1","SDMM",67891,13.7985889145837,25.6086962925866,86.2573831582979
"316","L1","CDM",66141,16.0898686140216,21.4949879802241,83.9947989900364
"316","L1","MMCDM",65712,14.0491843194546,25.9982955928902,85.9827733138544
"316","L1","CDM-CaPantothenate",64957,14.5188355373555,26.1896331419247,85.5396647012639
"316","L1","CDM-Uracil",66367,15.6448234815496,22.2972260310094,84.4275016197809
"316","L1","CDM-Glycine",62115,13.9724704177735,31.2951782983176,86.0693874265475
"316","L1","CDM-Isoleucine",63701,14.6308535187831,26.6290953046263,85.4350795120956
"316","L1","CDM-Valine",74611,14.0368042245781,18.5026336599161,86.0208280280388
"316","L2","SDMM",72428,17.4228199039046,21.5234439719446,82.6876346164467
"316","L2","CDM",69582,17.8796240407002,24.8584404012532,82.2109166163663
"316","L2","MMCDM",69539,16.5648053610204,29.2166985432635,83.4768978558794
"316","L2","CDM-CaPantothenate",69457,16.4331888794506,26.1917445325885,83.6560749816433
"316","L2","CDM-Uracil",73163,15.8522750570644,24.5588617197217,84.231100419611
"316","L2","CDM-Glycine",69318,16.4473874029834,27.650826625119,83.6348423208979
"316","L2","CDM-Isoleucine",70820,16.5221688788478,26.7438576673256,83.539960463146
"316","L2","CDM-Valine",85516,16.6974601244212,15.9923289209037,83.3972589924692
"316","L3","SDMM",74321,9.96084552145423,27.2843476271848,90.0135896987393
"316","L3","CDM",69561,10.7287129282213,30.7830537226319,89.2525984387804
"316","L3","MMCDM",72032,9.48883829409152,30.0213793869391,90.4695135495335
"316","L3","CDM-CaPantothenate",65526,4.54476085828526,35.2089247016452,95.3651985471416
"316","L3","CDM-Uracil",66128,9.36668279699976,33.2325187515122,90.5577062666344
"316","L3","CDM-Glycine",66824,9.745001795762,33.0869148808811,90.2071112175266
"316","L3","CDM-Isoleucine",67518,7.11958292603454,33.1348677389733,92.8285790455878
"316","L3","CDM-Valine",92221,9.06301167846803,19.4695351384175,90.936988321532
"316","L4","SDMM",77802,9.10130844965425,34.4309914912213,90.3524330994062
"316","L4","CDM",73451,8.35659146914269,38.1900859076119,91.0920205306939
"316","L4","MMCDM",70377,5.75756284013243,41.529192776049,93.4737201074215
"316","L4","CDM-CaPantothenate",70842,7.46591005335818,40.2077863414359,91.9849806611897
"316","L4","CDM-Uracil",73918,7.40820909656646,35.895181146676,91.9167185259341
"316","L4","CDM-Glycine",72112,7.73518970490348,37.852229864655,91.9042600399379
"316","L4","CDM-Isoleucine",72131,5.96137583008692,40.6052876017246,93.3135545049979
"316","L4","CDM-Valine",105798,9.0871283011021,16.6978581825743,90.9960490746517
"316","L5","SDMM",76143,4.83432488869627,21.3138436888486,95.1801216132803
"316","L5","CDM",67992,5.0329450523591,27.0914225202965,94.9052829744676
